product, price, quantity, side, state
912828U40,100-036,50000,SELL,RECEIVED
912828U40,99-226,80000,BUY,RECEIVED
912828U40,100-171,70000,SELL,RECEIVED
912828U40,100-196,40000,BUY,RECEIVED
912828U40,100-126,10000,BUY,RECEIVED
912828U40,99-13+,90000,SELL,RECEIVED
912828U40,100-303,10000,SELL,RECEIVED
912828U40,99-033,80000,BUY,RECEIVED
912828U40,100-032,40000,SELL,RECEIVED
912828U40,99-057,30000,BUY,RECEIVED
912828U32,100-286,70000,SELL,RECEIVED
912828U32,100-195,80000,BUY,RECEIVED
912828U32,99-276,70000,BUY,RECEIVED
912828U32,99-166,50000,BUY,RECEIVED
912828U32,99-292,70000,BUY,RECEIVED
912828U32,99-305,40000,BUY,RECEIVED
912828U32,100-15+,20000,BUY,RECEIVED
912828U32,99-060,90000,BUY,RECEIVED
912828U32,99-232,20000,SELL,RECEIVED
912828U32,99-222,70000,SELL,RECEIVED
912828U65,100-117,40000,BUY,RECEIVED
912828U65,99-252,30000,BUY,RECEIVED
912828U65,100-09+,20000,BUY,RECEIVED
912828U65,100-255,40000,BUY,RECEIVED
912828U65,99-101,70000,SELL,RECEIVED
912828U65,100-076,90000,BUY,RECEIVED
912828U65,99-305,80000,BUY,RECEIVED
912828U65,99-037,80000,SELL,RECEIVED
912828U65,100-311,70000,SELL,RECEIVED
912828U65,100-176,30000,BUY,RECEIVED
912828U57,99-182,80000,SELL,RECEIVED
912828U57,99-047,70000,SELL,RECEIVED
912828U57,99-230,90000,BUY,RECEIVED
912828U57,100-111,30000,BUY,RECEIVED
912828U57,100-206,50000,BUY,RECEIVED
912828U57,100-207,40000,BUY,RECEIVED
912828U57,100-305,20000,BUY,RECEIVED
912828U57,99-20+,20000,SELL,RECEIVED
912828U57,99-130,20000,SELL,RECEIVED
912828U57,100-061,80000,BUY,RECEIVED
912828U24,100-007,10000,BUY,RECEIVED
912828U24,100-07+,20000,SELL,RECEIVED
912828U24,99-00+,30000,SELL,RECEIVED
912828U24,99-275,70000,SELL,RECEIVED
912828U24,100-192,90000,BUY,RECEIVED
912828U24,99-182,70000,BUY,RECEIVED
912828U24,99-175,90000,SELL,RECEIVED
912828U24,100-246,80000,BUY,RECEIVED
912828U24,99-196,30000,BUY,RECEIVED
912828U24,100-070,50000,SELL,RECEIVED
912828U40,99-100,40000,BUY,RECEIVED
912828U40,99-266,30000,SELL,RECEIVED
912828U40,100-14+,40000,SELL,RECEIVED
912828U40,99-183,50000,SELL,RECEIVED
912828U40,100-28+,90000,SELL,RECEIVED
912828U40,99-086,70000,SELL,RECEIVED
912828U40,100-001,70000,SELL,RECEIVED
912828U40,100-101,90000,SELL,RECEIVED
912828U40,99-021,70000,BUY,RECEIVED
912828U40,99-092,90000,SELL,RECEIVED
