product,bidprice1,position1,bidprice2,position2,bidprice3,position3,bidprice4,position4,bidprice5,position5,offerprice1,position1,offerprice2,position2,offerprice3,position3,offerprice4,position4,offerprice5,position5
99-036,1000000,99-041,2000000,99-126,3000000,99-142,4000000,99-161,5000000,99-171,1000000,99-271,2000000,99-113,3000000,99-063,4000000,99-287,5000000,
99-301,1000000,99-046,2000000,99-13+,3000000,99-067,4000000,99-076,5000000,99-192,1000000,99-130,2000000,99-033,3000000,99-116,4000000,99-313,5000000,
99-291,1000000,99-245,2000000,99-315,3000000,99-203,4000000,99-286,5000000,99-215,1000000,99-273,2000000,99-131,3000000,99-10+,4000000,99-276,5000000,
100-002,1000000,100-166,2000000,100-000,3000000,100-225,4000000,100-181,5000000,100-186,1000000,100-305,2000000,100-09+,3000000,100-137,4000000,100-202,5000000,
100-006,1000000,100-163,2000000,100-040,3000000,100-232,4000000,100-271,5000000,100-026,1000000,100-021,2000000,100-291,3000000,100-117,4000000,100-260,5000000,
99-252,1000000,99-252,2000000,99-291,3000000,99-120,4000000,99-305,5000000,99-255,1000000,99-090,2000000,99-182,3000000,99-09+,4000000,99-197,5000000,
99-227,1000000,99-206,2000000,99-305,3000000,99-286,4000000,99-063,5000000,99-157,1000000,99-091,2000000,99-311,3000000,99-151,4000000,99-131,5000000,
99-29+,1000000,99-222,2000000,99-186,3000000,99-290,4000000,99-047,5000000,99-107,1000000,99-027,2000000,99-081,3000000,99-123,4000000,99-111,5000000,
99-303,1000000,99-206,2000000,99-12+,3000000,99-21+,4000000,99-31+,5000000,99-041,1000000,99-305,2000000,99-152,3000000,99-02+,4000000,99-127,5000000,
100-165,1000000,100-083,2000000,100-155,3000000,100-061,4000000,100-292,5000000,100-050,1000000,100-233,2000000,100-241,3000000,100-07+,4000000,100-147,5000000,
99-00+,1000000,99-015,2000000,99-303,3000000,99-055,4000000,99-073,5000000,99-192,1000000,99-310,2000000,99-162,3000000,99-26+,4000000,99-206,5000000,
100-056,1000000,100-095,2000000,100-246,3000000,100-10+,4000000,100-223,5000000,100-141,1000000,100-227,2000000,100-070,3000000,100-207,4000000,100-102,5000000,
99-230,1000000,99-222,2000000,99-223,3000000,99-175,4000000,99-14+,5000000,99-081,1000000,99-302,2000000,99-275,3000000,99-035,4000000,99-28+,5000000,
100-190,1000000,100-086,2000000,100-115,3000000,100-050,4000000,100-255,5000000,100-237,1000000,100-101,2000000,100-225,3000000,100-162,4000000,100-095,5000000,
99-201,1000000,99-101,2000000,99-050,3000000,99-010,4000000,99-201,5000000,99-272,1000000,99-051,2000000,99-081,3000000,99-126,4000000,99-093,5000000,
