product, mid, bid_offer_spread
912828U40,99-30+,0-00+
912828U40,100-053,0-003
912828U40,99-192,0-003
912828U40,100-171,0-00+
912828U40,99-23+,0-003
912828U40,100-281,0-003
912828U40,100-150,0-003
912828U40,100-026,0-002
912828U40,99-102,0-00+
912828U40,99-052,0-002
912828U32,99-210,0-002
912828U32,99-02+,0-002
912828U32,100-087,0-003
912828U32,100-162,0-002
912828U32,100-020,0-002
912828U32,99-30+,0-00+
912828U32,100-147,0-003
912828U32,100-175,0-003
912828U32,99-210,0-003
912828U32,100-045,0-002
912828U65,99-126,0-002
912828U65,99-00+,0-003
912828U65,99-28+,0-00+
912828U65,99-013,0-003
912828U65,100-02+,0-002
912828U65,99-097,0-002
912828U65,100-157,0-00+
912828U65,100-127,0-002
912828U65,99-131,0-002
912828U65,100-137,0-003
912828U57,100-206,0-00+
912828U57,100-017,0-003
912828U57,99-037,0-002
912828U57,100-222,0-00+
912828U57,100-252,0-00+
912828U57,100-100,0-002
912828U57,100-091,0-002
912828U57,99-01+,0-002
912828U57,100-102,0-003
912828U57,99-096,0-00+
912828U24,100-220,0-003
912828U24,99-266,0-002
912828U24,99-082,0-003
912828U24,99-027,0-003
912828U24,100-087,0-003
912828U24,100-030,0-003
912828U24,99-030,0-00+
912828U24,99-232,0-003
912828U24,100-183,0-00+
912828U24,99-253,0-003
912828U40,99-222,0-003
912828U40,99-176,0-003
912828U40,100-135,0-003
912828U40,100-061,0-002
912828U40,100-101,0-00+
912828U40,100-037,0-002
912828U40,100-027,0-002
912828U40,99-192,0-003
912828U40,100-282,0-00+
912828U40,100-175,0-002
