product, mid, bid_offer_spread
912828U40,100-036,0-003
912828U40,100-126,0-002
912828U40,99-161,0-00+
912828U40,100-271,0-00+
912828U40,100-063,0-002
912828U40,100-126,0-002
912828U40,99-305,0-00+
912828U40,99-237,0-002
912828U40,100-185,0-003
912828U40,100-273,0-002
912828U32,100-032,0-002
912828U32,100-245,0-003
912828U32,100-203,0-00+
912828U32,99-215,0-003
912828U32,100-131,0-003
912828U32,99-276,0-002
912828U32,99-260,0-00+
912828U32,99-246,0-002
912828U32,99-092,0-00+
912828U32,99-291,0-00+
912828U65,100-15+,0-003
912828U65,99-006,0-00+
912828U65,100-040,0-002
912828U65,99-271,0-003
912828U65,99-021,0-00+
912828U65,100-117,0-002
912828U65,99-101,0-00+
912828U65,100-185,0-00+
912828U65,99-006,0-002
912828U65,100-211,0-002
912828U57,99-101,0-002
912828U57,100-317,0-003
912828U57,100-206,0-003
912828U57,100-286,0-003
912828U57,100-157,0-002
912828U57,100-311,0-002
912828U57,100-131,0-00+
912828U57,100-286,0-003
912828U57,99-065,0-00+
912828U57,99-152,0-00+
912828U24,99-230,0-00+
912828U24,99-193,0-002
912828U24,99-303,0-00+
912828U24,99-12+,0-002
912828U24,99-31+,0-003
912828U24,100-305,0-003
912828U24,99-02+,0-00+
912828U24,100-190,0-003
912828U24,99-197,0-002
912828U24,99-255,0-003
912828U40,100-007,0-002
912828U40,99-017,0-00+
912828U40,99-310,0-003
912828U40,99-015,0-00+
912828U40,100-055,0-002
912828U40,100-192,0-00+
912828U40,99-162,0-002
912828U40,99-206,0-00+
912828U40,100-301,0-003
912828U40,99-062,0-003
