product, tradeId, book, quantity, side
912828U40,T0,TRSY2,600000,BUY
912828U40,T20,TRSY2,500000,BUY
912828U40,T40,TRSY2,400000,SELL
912828U40,T60,TRSY3,300000,BUY
912828U40,T80,TRSY2,800000,BUY
912828U40,T100,TRSY3,600000,BUY
912828U40,T120,TRSY1,400000,SELL
912828U40,T140,TRSY1,700000,SELL
912828U40,T160,TRSY1,500000,SELL
912828U40,T180,TRSY3,600000,SELL
912828U32,T250,TRSY3,300000,SELL
912828U32,T270,TRSY2,100000,BUY
912828U32,T290,TRSY2,900000,BUY
912828U32,T310,TRSY1,400000,BUY
912828U32,T330,TRSY1,300000,BUY
912828U32,T350,TRSY2,300000,BUY
912828U32,T370,TRSY3,300000,SELL
912828U32,T390,TRSY1,600000,SELL
912828U32,T410,TRSY3,400000,BUY
912828U32,T430,TRSY2,400000,BUY
912828U65,T500,TRSY3,500000,BUY
912828U65,T520,TRSY2,700000,SELL
912828U65,T540,TRSY2,500000,SELL
912828U65,T560,TRSY1,500000,SELL
912828U65,T580,TRSY2,600000,BUY
912828U65,T600,TRSY1,600000,SELL
912828U65,T620,TRSY1,400000,SELL
912828U65,T640,TRSY2,600000,SELL
912828U65,T660,TRSY2,100000,SELL
912828U65,T680,TRSY2,600000,BUY
912828U57,T750,TRSY3,700000,BUY
912828U57,T770,TRSY2,200000,BUY
912828U57,T790,TRSY1,900000,SELL
912828U57,T810,TRSY3,900000,BUY
912828U57,T830,TRSY1,500000,SELL
912828U57,T850,TRSY3,400000,BUY
912828U57,T870,TRSY3,300000,SELL
912828U57,T890,TRSY2,900000,SELL
912828U57,T910,TRSY3,700000,BUY
912828U57,T930,TRSY1,400000,BUY
912828U24,T1000,TRSY3,200000,SELL
912828U24,T1020,TRSY3,700000,BUY
912828U24,T1040,TRSY3,400000,SELL
912828U24,T1060,TRSY2,200000,SELL
912828U24,T1080,TRSY2,400000,SELL
912828U24,T1100,TRSY3,200000,BUY
912828U24,T1120,TRSY2,800000,BUY
912828U24,T1140,TRSY1,300000,BUY
912828U24,T1160,TRSY2,600000,BUY
912828U24,T1180,TRSY1,300000,BUY
912828U40,T1250,TRSY3,600000,SELL
912828U40,T1270,TRSY3,800000,BUY
912828U40,T1290,TRSY1,100000,BUY
912828U40,T1310,TRSY3,900000,SELL
912828U40,T1330,TRSY3,400000,BUY
912828U40,T1350,TRSY1,400000,BUY
912828U40,T1370,TRSY2,300000,SELL
912828U40,T1390,TRSY2,300000,SELL
912828U40,T1410,TRSY1,700000,BUY
912828U40,T1430,TRSY2,700000,SELL
