product, price, quantity, side, state
912828U40,100,60000,SELL,RECEIVED
912828U40,100,80000,BUY,RECEIVED
912828U40,100,90000,BUY,RECEIVED
912828U40,100,40000,BUY,RECEIVED
912828U40,100,80000,BUY,RECEIVED
912828U40,100,90000,SELL,RECEIVED
912828U40,100,80000,SELL,RECEIVED
912828U40,100,80000,SELL,RECEIVED
912828U40,100,80000,BUY,RECEIVED
912828U40,100,40000,BUY,RECEIVED
912828U32,100,10000,BUY,RECEIVED
912828U32,100,60000,SELL,RECEIVED
912828U32,100,50000,BUY,RECEIVED
912828U32,100,70000,BUY,RECEIVED
912828U32,100,90000,SELL,RECEIVED
912828U32,100,30000,BUY,RECEIVED
912828U32,100,30000,BUY,RECEIVED
912828U32,100,70000,BUY,RECEIVED
912828U32,100,90000,SELL,RECEIVED
912828U32,100,80000,BUY,RECEIVED
912828U65,100,30000,SELL,RECEIVED
912828U65,100,30000,SELL,RECEIVED
912828U65,100,70000,BUY,RECEIVED
912828U65,100,40000,SELL,RECEIVED
912828U65,100,30000,BUY,RECEIVED
912828U65,100,60000,BUY,RECEIVED
912828U65,100,20000,SELL,RECEIVED
912828U65,100,40000,SELL,RECEIVED
912828U65,100,30000,SELL,RECEIVED
912828U65,100,80000,BUY,RECEIVED
912828U57,100,50000,SELL,RECEIVED
912828U57,100,60000,BUY,RECEIVED
912828U57,100,10000,BUY,RECEIVED
912828U57,100,50000,BUY,RECEIVED
912828U57,100,50000,BUY,RECEIVED
912828U57,100,60000,SELL,RECEIVED
912828U57,100,60000,SELL,RECEIVED
912828U57,100,80000,BUY,RECEIVED
912828U57,100,40000,SELL,RECEIVED
912828U57,100,40000,BUY,RECEIVED
912828U24,100,10000,SELL,RECEIVED
912828U24,100,10000,BUY,RECEIVED
912828U24,100,10000,BUY,RECEIVED
912828U24,100,80000,BUY,RECEIVED
912828U24,100,90000,BUY,RECEIVED
912828U24,100,70000,SELL,RECEIVED
912828U24,100,30000,SELL,RECEIVED
912828U24,100,30000,BUY,RECEIVED
912828U24,100,90000,BUY,RECEIVED
912828U24,100,70000,SELL,RECEIVED
912828U40,100,10000,SELL,RECEIVED
912828U40,100,50000,BUY,RECEIVED
912828U40,100,70000,BUY,RECEIVED
912828U40,100,10000,BUY,RECEIVED
912828U40,100,30000,BUY,RECEIVED
912828U40,100,90000,SELL,RECEIVED
912828U40,100,60000,BUY,RECEIVED
912828U40,100,70000,SELL,RECEIVED
912828U40,100,30000,SELL,RECEIVED
912828U40,100,40000,BUY,RECEIVED
